tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,fare_amount,payment_type
2026-03-07 17:02:05,2026-03-07 17:07:44,3,3.24,19.89,No Charge
2026-03-04 03:33:39,2026-03-04 04:14:59,2,20.56,56.11,Credit Card
2026-03-04 20:16:18,2026-03-04 21:05:10,4,15.47,44.62,Credit Card
2026-03-03 08:51:02,2026-03-03 08:59:08,3,14.08,39.48,Dispute
2026-03-06 05:40:04,2026-03-06 06:15:20,3,-4.06,-5.92,Credit Card
2026-03-01 19:33:26,2026-03-01 19:41:58,3,14.12,46.85,Dispute
2026-03-03 20:26:22,2026-03-03 21:08:58,3,14.93,47.58,Dispute
2026-03-07 15:19:06,2026-03-07 15:32:04,2,19.99,58.15,Credit Card
2026-03-07 00:42:24,2026-03-07 00:56:10,6,6.19,20.65,Dispute
2026-03-04 21:05:18,2026-03-04 21:31:01,5,11.63,-8.88,Cash
2026-03-05 16:02:09,2026-03-05 16:31:45,5,5.54,19.03,Cash
2026-03-06 06:37:31,2026-03-06 07:08:16,6,1.31,13.32,No Charge
2026-03-03 14:37:23,2026-03-03 15:02:58,4,8.14,32.7,Dispute
2026-03-01 00:43:08,2026-03-01 01:04:58,1,23.46,71.2,No Charge
2026-03-05 06:44:15,2026-03-05 07:01:10,2,18.79,51.85,Dispute
2026-03-07 06:40:38,2026-03-07 06:52:47,1,23.29,69.34,Dispute
2026-03-02 09:53:47,2026-03-02 10:03:23,5,10.0,36.17,Cash
2026-03-01 06:58:19,2026-03-01 07:51:06,6,8.63,29.78,Cash
2026-03-03 07:49:15,2026-03-03 08:28:42,6,6.16,24.65,Dispute
2026-03-04 00:06:35,2026-03-04 00:56:27,4,13.2,44.96,Credit Card
2026-03-01 20:56:20,2026-03-01 21:24:47,5,6.76,23.45,Credit Card
2026-03-07 20:01:36,2026-03-07 20:39:48,1,3.45,15.12,No Charge
2026-03-05 13:55:13,2026-03-05 14:38:47,5,8.48,26.64,Cash
2026-03-04 12:51:30,2026-03-04 13:00:47,2,12.1,38.72,Dispute
2026-03-03 20:31:36,2026-03-03 21:17:42,3,8.55,25.85,Credit Card
2026-03-01 06:14:38,2026-03-01 06:28:41,3,0.92,7.52,Credit Card
2026-03-07 21:30:29,2026-03-07 22:11:28,5,21.53,60.09,Credit Card
2026-03-02 13:58:13,2026-03-02 14:47:21,4,15.45,45.94,Credit Card
2026-03-04 08:54:27,2026-03-04 09:01:05,1,5.42,21.82,Credit Card
2026-03-02 21:15:24,2026-03-02 21:21:18,1,21.71,58.81,Dispute
2026-03-03 18:45:19,2026-03-03 19:16:03,4,17.58,55.41,Cash
2026-03-01 08:49:38,2026-03-01 09:29:00,5,22.49,-8.5,No Charge
2026-03-02 12:56:44,2026-03-02 13:46:10,6,1.54,14.66,Dispute
2026-03-02 18:23:27,2026-03-02 19:14:05,1,18.49,58.35,Credit Card
2026-03-05 22:18:08,2026-03-05 22:38:56,5,17.37,-7.96,Dispute
2026-03-07 08:14:40,2026-03-07 09:03:06,4,23.8,68.29,No Charge
